trade_id,timestamp,entry_price,exit_price,exit_reason,outcome,pnl,stop,target,strategy,signal,direction
PT-20260917145450-3356D9,2026-09-01 08:40:00,23965.05078125,23965.650390625,TARGET_HIT,TARGET_HIT,-11.9921875,24048.70751953125,23605.57501953125,,BEARISH,BEARISH
PT-20260917145451-16BC19,2026-09-01 08:45:00,23965.650390625,23958.05078125,TARGET_HIT,TARGET_HIT,151.9921875,24041.42747395833,23606.165634765624,,BEARISH,BEARISH
PT-20260917145451-254F08,2026-09-01 08:50:00,23958.05078125,23981.599609375,TARGET_HIT,TARGET_HIT,-470.9765625,24033.729166666664,23598.68001953125,,BEARISH,BEARISH
PT-20260917145451-621227,2026-09-01 08:55:00,23981.599609375,23984.44921875,TARGET_HIT,TARGET_HIT,-56.9921875,24026.791666666664,23621.875615234374,,BEARISH,BEARISH
PT-20260917145451-2B05D5,2026-09-01 09:00:00,23984.44921875,23966.0,TARGET_HIT,TARGET_HIT,368.984375,24020.889941406247,23624.68248046875,,BEARISH,BEARISH
PT-20260917145451-940E17,2026-09-01 09:05:00,23966.0,23961.94921875,TARGET_HIT,TARGET_HIT,81.015625,24014.959114583333,23606.51,,BEARISH,BEARISH
PT-20260917145451-B73883,2026-09-01 09:10:00,23961.94921875,23969.650390625,TARGET_HIT,TARGET_HIT,-154.0234375,24008.83994140625,23602.51998046875,,BEARISH,BEARISH
PT-20260917145451-98DC04,2026-09-01 09:15:00,23969.650390625,23980.75,TARGET_HIT,TARGET_HIT,-221.9921875,24003.46416015625,23610.105634765623,,BEARISH,BEARISH
PT-20260917145451-531C24,2026-09-01 09:20:00,23980.75,23980.5,TARGET_HIT,TARGET_HIT,5.0,23999.471647135415,23621.03875,,BEARISH,BEARISH
PT-20260917145451-E79A02,2026-09-01 09:25:00,23980.5,23975.900390625,TARGET_HIT,TARGET_HIT,91.9921875,23996.319108072916,23620.7925,,BEARISH,BEARISH
PT-20260917145451-CD1E6D,2026-09-01 09:30:00,23975.900390625,23969.650390625,TARGET_HIT,TARGET_HIT,125.0,23992.443294270834,23616.261884765623,,BEARISH,BEARISH
PT-20260917145451-45BD29,2026-09-01 09:35:00,23969.650390625,23984.44921875,TARGET_HIT,TARGET_HIT,-295.9765625,23988.585774739586,23610.105634765623,,BEARISH,BEARISH
PT-20260917145451-9E2D12,2026-09-01 09:40:00,23984.44921875,23980.55078125,TARGET_HIT,TARGET_HIT,77.96875,23984.611621093754,23624.68248046875,,BEARISH,BEARISH
